,비고,수업시간표,대학,교수이름,시간표,이수구분,온/오프
1358,[전환(화상)]의예과 대상 필수기초 과목임,화B 목B,일송자유교양대학,PETERSON JOSHUA,의예과영어2,기초,[전환(화상)]
1359,[전환(화상)]의예과 대상 필수기초 과목임,화B 목B,일송자유교양대학,박미경,의예과영어2,기초,[전환(화상)]
1360,해당자에 한하여 별도입력함,,일송자유교양대학,이정근,커리어디자인I,일반교양,[오프라인]
1361,해당자에 한하여 별도입력함,,일송자유교양대학,이정근,커리어디자인II,일반교양,[오프라인]
1362,[전환(동영상)],화C 목C,일송자유교양대학,주한나,국제개발협력과진로탐색,일반교양,[전환(동영상)]
1363,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이주성,창의코딩인공지능,기초,[동영상 콘텐츠]
1364,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이주성,창의코딩인공지능,기초,[동영상 콘텐츠]
1365,[동영상 콘텐츠]지정학과 1학년 외,온라인1,일송자유교양대학,이주성,창의코딩인공지능,기초,[동영상 콘텐츠]
1366,[블렌디드]지정학과 1학년 외,화D 목D,일송자유교양대학,이창희,창의코딩인공지능,기초,[블렌디드]
1367,[전환(화상)]1학년 대상분반(2,월5,자유교양전공,김양선,[삶의질문]삶의큰질문:인생,기초,[전환(화상)]
1368,[전환(화상)]2,화E 목E,자유교양전공,김양선,[삶의질문]삶의큰질문:인생,기초,[전환(화상)]
1369,[전환(화상)]1학년 대상분반(2,화C 목C,자유교양전공,심보경,[삶의질문]삶의큰질문:인생,기초,[전환(화상)]
1370,[실시간 화상강의],화D 목D,자유교양전공,장세진,[명저]동아시아의스테디셀러를읽는다,일반교양,[실시간 화상강의]
1371,[전환(동영상)],화B 목B,자유교양전공,이재진,[첨단기초]어떻게풀것인가,일반교양,[전환(동영상)]
1372,[전환(화상)],화D 목D,자유교양전공,김설,[명저]생각의유혹,일반교양,[전환(화상)]
1373,[전환(동영상)],월3,미래융합스쿨,최정화,디지털소비자행동의이해,전선,[전환(동영상)]
1374,[전환(동영상)],수7,미래융합스쿨,미정,디지털마케팅솔루션기획,전선,[전환(동영상)]
1375,[전환(화상)],화C 목C,미래융합스쿨,윤태일,텍스트마이닝과마케팅커뮤니케이션,전선,[전환(화상)]
